time_hr,start_iso,end_iso,player_level,zone,xp_total,xp_per_hr,gold_total,gold_per_hr,dps,ttk_avg,drops_rare,drops_epic,craft_items,upgrade_costs_spent,prestige_count
1,2025-09-18T13:20:26.878Z,2025-09-18T14:20:26.878Z,4,Geometria Plana,311,1251,236,6,0.5,1092.33,1,0,1,2,0
2,2025-09-18T14:20:26.878Z,2025-09-18T15:20:26.878Z,5,Geometria Plana,954,1500,248,6,0.5,514.33,1,0,1,2,0
3,2025-09-18T15:20:26.878Z,2025-09-18T16:20:26.878Z,6,Geometria Plana,1243,1500,261,6,0.5,728.33,1,0,1,2,0
4,2025-09-18T16:20:26.878Z,2025-09-18T17:20:26.878Z,7,Geometria Plana,1136,1500,271,6,0.5,1810.33,1,0,1,2,0
5,2025-09-18T17:20:26.878Z,2025-09-18T18:20:26.878Z,8,Geometria Plana,595,1500,283,6,0.5,3830.33,1,0,1,2,0
6,2025-09-18T18:20:26.878Z,2025-09-18T19:20:26.878Z,8,Geometria Plana,2095,1500,294,6,0.5,830.33,1,0,1,2,0
7,2025-09-18T19:20:26.878Z,2025-09-18T20:20:26.878Z,9,Geometria Plana,1085,1500,307,6,0.5,3856.33,1,0,1,2,0
8,2025-09-18T20:20:26.878Z,2025-09-18T21:20:26.878Z,9,Geometria Plana,2585,1500,320,6,0.5,856.33,1,0,1,2,0
9,2025-09-18T21:20:26.878Z,2025-09-18T22:20:26.878Z,10,Geometria Plana,1072,1500,330,6,0.5,4952.33,1,0,1,2,0
10,2025-09-18T22:20:26.878Z,2025-09-18T23:20:26.878Z,10,Geometria Plana,2451,1379,340,6,0.4,2742.92,1,0,1,2,0
11,2025-09-18T23:20:26.878Z,2025-09-19T00:20:26.878Z,11,Geometria Plana,103,1200,351,6,0.4,10022.92,1,0,1,2,0
12,2025-09-19T00:20:26.878Z,2025-09-19T01:20:26.878Z,11,Geometria Plana,1303,1200,361,6,0.4,7022.92,1,0,1,2,0
13,2025-09-19T01:20:26.878Z,2025-09-19T02:20:26.878Z,11,Geometria Plana,2503,1200,370,6,0.4,4022.92,1,0,1,2,0
14,2025-09-19T02:20:26.878Z,2025-09-19T03:20:26.878Z,11,Geometria Plana,3703,1200,382,6,0.4,1022.92,1,0,1,2,0
15,2025-09-19T03:20:26.878Z,2025-09-19T04:20:26.878Z,12,Geometria Plana,791,1200,393,6,0.4,9787.92,1,0,1,2,0
16,2025-09-19T04:20:26.878Z,2025-09-19T05:20:26.878Z,12,Geometria Plana,1991,1200,406,6,0.4,6787.92,1,0,1,2,0
17,2025-09-19T05:20:26.878Z,2025-09-19T06:20:26.878Z,12,Geometria Plana,3191,1200,418,6,0.4,3787.92,1,0,1,2,0
18,2025-09-19T06:20:26.878Z,2025-09-19T07:20:26.878Z,12,Geometria Plana,4391,1200,431,6,0.4,787.92,1,0,1,2,0
19,2025-09-19T07:20:26.878Z,2025-09-19T08:20:26.878Z,13,Geometria Plana,885,1200,442,6,0.4,11107.92,1,0,1,2,0
20,2025-09-19T08:20:26.878Z,2025-09-19T09:20:26.878Z,13,Geometria Plana,2085,1200,453,6,0.4,8107.92,1,0,1,2,0
21,2025-09-19T09:20:26.878Z,2025-09-19T10:20:26.878Z,13,Geometria Plana,3285,1200,464,6,0.4,5107.92,1,0,1,2,0
22,2025-09-19T10:20:26.878Z,2025-09-19T11:20:26.878Z,13,Geometria Plana,4485,1200,476,6,0.4,2107.92,1,0,1,2,0
23,2025-09-19T11:20:26.878Z,2025-09-19T12:20:26.878Z,14,Geometria Plana,357,1200,486,6,0.4,14050.42,1,0,1,2,0
24,2025-09-19T12:20:26.878Z,2025-09-19T13:20:26.878Z,14,Geometria Plana,1856,1499,497,6,0.5,8242.33,1,0,1,2,0
25,2025-09-19T13:20:26.878Z,2025-09-19T14:20:26.878Z,14,Geometria Plana,3356,1500,507,6,0.5,5242.33,1,0,1,2,0
26,2025-09-19T14:20:26.878Z,2025-09-19T15:20:26.878Z,14,Geometria Plana,4856,1500,518,6,0.5,2242.33,1,0,1,2,0
27,2025-09-19T15:20:26.878Z,2025-09-19T16:20:26.878Z,15,Geometria Plana,379,1500,528,6,0.5,12544.33,1,0,1,2,0
28,2025-09-19T16:20:26.878Z,2025-09-19T17:20:26.878Z,15,Geometria Plana,1879,1500,540,6,0.5,9544.33,1,0,1,2,0
29,2025-09-19T17:20:26.878Z,2025-09-19T18:20:26.878Z,15,Geometria Plana,3379,1500,551,6,0.5,6544.33,1,0,1,2,0
30,2025-09-19T18:20:26.878Z,2025-09-19T19:20:26.878Z,15,Geometria Plana,4879,1500,561,6,0.5,3544.33,1,0,1,2,0
31,2025-09-19T19:20:26.878Z,2025-09-19T20:20:26.878Z,15,Geometria Plana,6379,1500,573,6,0.5,544.33,1,0,1,2,0
32,2025-09-19T20:20:26.878Z,2025-09-19T21:20:26.878Z,16,Geometria Plana,1228,1500,583,6,0.5,12246.33,1,0,1,2,0
33,2025-09-19T21:20:26.878Z,2025-09-19T22:20:26.878Z,16,Geometria Plana,2608,1380,595,6,0.4,11857.92,1,0,1,2,0
34,2025-09-19T22:20:26.878Z,2025-09-19T23:20:26.878Z,16,Geometria Plana,3808,1200,609,6,0.4,8857.92,1,0,1,2,0
35,2025-09-19T23:20:26.878Z,2025-09-20T00:20:26.878Z,16,Geometria Plana,5008,1200,620,6,0.4,5857.92,1,0,1,2,0
36,2025-09-20T00:20:26.878Z,2025-09-20T01:20:26.878Z,16,Geometria Plana,6208,1200,632,6,0.4,2857.92,1,0,1,2,0
37,2025-09-20T01:20:26.878Z,2025-09-20T02:20:26.878Z,17,Geometria Plana,57,1200,643,6,0.4,20045.42,1,0,1,2,0
38,2025-09-20T02:20:26.878Z,2025-09-20T03:20:26.878Z,17,Geometria Plana,1257,1200,653,6,0.4,17045.42,1,0,1,2,0
39,2025-09-20T03:20:26.878Z,2025-09-20T04:20:26.878Z,17,Geometria Plana,2457,1200,663,6,0.4,14045.42,1,0,1,2,0
40,2025-09-20T04:20:26.878Z,2025-09-20T05:20:26.878Z,17,Geometria Plana,3657,1200,674,6,0.4,11045.42,1,0,1,2,0
41,2025-09-20T05:20:26.878Z,2025-09-20T06:20:26.878Z,17,Geometria Plana,4857,1200,686,6,0.4,8045.42,1,0,1,2,0
42,2025-09-20T06:20:26.878Z,2025-09-20T07:20:26.878Z,17,Geometria Plana,6057,1200,698,6,0.4,5045.42,1,0,1,2,0
43,2025-09-20T07:20:26.878Z,2025-09-20T08:20:26.878Z,17,Geometria Plana,7257,1200,708,6,0.4,2045.42,1,0,1,2,0
44,2025-09-20T08:20:26.878Z,2025-09-20T09:20:26.878Z,18,Geometria Plana,382,1200,719,6,0.4,21105.42,1,0,1,2,0
45,2025-09-20T09:20:26.878Z,2025-09-20T10:20:26.878Z,18,Geometria Plana,1582,1200,729,6,0.4,18105.42,1,0,1,2,0
46,2025-09-20T10:20:26.878Z,2025-09-20T11:20:26.878Z,18,Geometria Plana,2782,1200,739,6,0.4,15105.42,1,0,1,2,0
47,2025-09-20T11:20:26.878Z,2025-09-20T12:20:26.878Z,18,Geometria Plana,3982,1200,748,6,0.4,12105.42,1,0,1,2,0
48,2025-09-20T12:20:26.878Z,2025-09-20T13:20:26.878Z,18,Geometria Plana,5481,1499,758,6,0.5,6686.33,1,0,1,2,0
49,2025-09-20T13:20:26.878Z,2025-09-20T14:20:26.878Z,18,Geometria Plana,6981,1500,769,6,0.5,3686.33,1,0,1,2,0
50,2025-09-20T14:20:26.878Z,2025-09-20T15:20:26.878Z,18,Geometria Plana,8481,1500,779,6,0.5,686.33,1,0,1,2,0
51,2025-09-20T15:20:26.878Z,2025-09-20T16:20:26.878Z,19,Geometria Plana,1157,1500,791,6,0.5,16876.33,1,0,1,2,0
52,2025-09-20T16:20:26.878Z,2025-09-20T17:20:26.878Z,19,Geometria Plana,2657,1500,801,6,0.5,13876.33,1,0,1,2,0
53,2025-09-20T17:20:26.878Z,2025-09-20T18:20:26.878Z,19,Geometria Plana,4157,1500,812,6,0.5,10876.33,1,0,1,2,0
54,2025-09-20T18:20:26.878Z,2025-09-20T19:20:26.878Z,19,Geometria Plana,5657,1500,825,6,0.5,7876.33,1,0,1,2,0
55,2025-09-20T19:20:26.878Z,2025-09-20T20:20:26.878Z,19,Geometria Plana,7157,1500,836,6,0.5,4876.33,1,0,1,2,0
56,2025-09-20T20:20:26.878Z,2025-09-20T21:20:26.878Z,19,Geometria Plana,8657,1500,848,6,0.5,1876.33,1,0,1,2,0
57,2025-09-20T21:20:26.878Z,2025-09-20T22:20:26.878Z,20,Geometria Plana,442,1380,859,6,0.4,24867.92,1,0,1,2,0
58,2025-09-20T22:20:26.878Z,2025-09-20T23:20:26.878Z,20,Geometria Plana,1642,1200,871,6,0.4,21867.92,1,0,1,2,0
59,2025-09-20T23:20:26.878Z,2025-09-21T00:20:26.878Z,20,Geometria Plana,2842,1200,882,6,0.4,18867.92,1,0,1,2,0
60,2025-09-21T00:20:26.878Z,2025-09-21T01:20:26.878Z,20,Geometria Plana,4042,1200,891,6,0.4,15867.92,1,0,1,2,0
61,2025-09-21T01:20:26.878Z,2025-09-21T02:20:26.878Z,20,Geometria Plana,5242,1200,904,6,0.4,12867.92,1,0,1,2,0
62,2025-09-21T02:20:26.878Z,2025-09-21T03:20:26.878Z,20,Geometria Plana,6442,1200,913,6,0.4,9867.92,1,0,1,2,0
63,2025-09-21T03:20:26.878Z,2025-09-21T04:20:26.878Z,20,Geometria Plana,7642,1200,925,6,0.4,6867.92,1,0,1,2,0
64,2025-09-21T04:20:26.878Z,2025-09-21T05:20:26.878Z,20,Geometria Plana,8842,1200,935,6,0.4,3867.92,1,0,1,2,0
65,2025-09-21T05:20:26.878Z,2025-09-21T06:20:26.878Z,20,Geometria Plana,10042,1200,947,6,0.4,867.92,1,0,1,2,0
66,2025-09-21T06:20:26.878Z,2025-09-21T07:20:26.878Z,21,Geometria Plana,853,1200,958,6,0.4,25880.42,1,0,1,2,0
67,2025-09-21T07:20:26.878Z,2025-09-21T08:20:26.878Z,21,Geometria Plana,2053,1200,970,6,0.4,22880.42,1,0,1,2,0
68,2025-09-21T08:20:26.878Z,2025-09-21T09:20:26.878Z,21,Geometria Plana,3253,1200,980,6,0.4,19880.42,1,0,1,2,0
69,2025-09-21T09:20:26.878Z,2025-09-21T10:20:26.878Z,21,Geometria Plana,4453,1200,991,6,0.4,16880.42,1,0,1,2,0
70,2025-09-21T10:20:26.878Z,2025-09-21T11:20:26.878Z,21,Geometria Plana,5653,1200,1004,6,0.4,13880.42,1,0,1,2,0
71,2025-09-21T11:20:26.878Z,2025-09-21T12:20:26.878Z,21,Geometria Plana,6853,1200,1015,6,0.4,10880.42,1,0,1,2,0
72,2025-09-21T12:20:26.878Z,2025-09-21T13:20:26.878Z,21,Geometria Plana,8352,1499,1026,6,0.5,5706.33,1,0,1,2,0
73,2025-09-21T13:20:26.878Z,2025-09-21T14:20:26.878Z,21,Geometria Plana,9852,1500,1035,6,0.5,2706.33,1,0,1,2,0
74,2025-09-21T14:20:26.878Z,2025-09-21T15:20:26.878Z,22,Geometria Plana,147,1500,1046,6,0.5,23792.33,1,0,1,2,0
75,2025-09-21T15:20:26.878Z,2025-09-21T16:20:26.878Z,22,Geometria Plana,1647,1500,1056,6,0.5,20792.33,1,0,1,2,0
76,2025-09-21T16:20:26.878Z,2025-09-21T17:20:26.878Z,22,Geometria Plana,3147,1500,1066,6,0.5,17792.33,1,0,1,2,0
77,2025-09-21T17:20:26.878Z,2025-09-21T18:20:26.878Z,22,Geometria Plana,4647,1500,1078,6,0.5,14792.33,1,0,1,2,0
